id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Data de nascimento,Homens,62 anos,62.0,60 a 64 anos,787
2913606,Idade presumida,Homens,65 anos,65.0,65 a 69 anos,193
2913606,Data de nascimento,Homens,68 anos,68.0,65 a 69 anos,542
2913606,Data de nascimento,Mulheres,70 anos,70.0,70 a 74 anos,564
2913606,Idade presumida,Homens,72 anos,72.0,70 a 74 anos,84
2913606,Data de nascimento,Homens,74 anos,74.0,70 a 74 anos,328
2913606,Idade presumida,Homens,77 anos,77.0,75 a 79 anos,39
2913606,Idade presumida,Homens,82 anos,82.0,80 a 84 anos,41
2913606,Idade presumida,Mulheres,85 anos,85.0,85 a 89 anos,42
2913606,Idade presumida,Mulheres,86 anos,86.0,85 a 89 anos,55
2913606,Data de nascimento,Mulheres,90 anos,90.0,90 a 94 anos,65
2913606,Data de nascimento,Mulheres,93 anos,93.0,90 a 94 anos,40
2913606,Idade presumida,Homens,Menos de 1 mês,0.0,0 a 4 anos,3
2913606,Idade presumida,Homens,95 anos,95.0,95 a 99 anos,5
